Name,anomalies,node_shape,Amount,Year,Region,Product,x,y
香港煜通电子科技有限公司,0,circle,10.086613,2022,PRC,DT CPU,0.0783433920565063,-0.007467765839373802
Synnex Technology Intl. (HK) Ltd,0,star,15.613343,2022,PRC,DT CPU,0.28813104913059007,-0.16612435842198756
上海凌矩电子科技有限公司,0,circle,10.069482,2022,PRC,DT CPU,0.3975077848208568,-0.4633335440149809
上海思鸿信息技术有限公司,0,circle,10.052537,2022,PRC,DT CPU,0.457703142913949,-0.4254153950317385
上海朴赛电子有限公司,0,circle,10.040279,2022,PRC,DT CPU,0.4033122045986027,-0.41430698940268224
东莞市华讯信息技术有限公司,0,circle,14.485102,2022,PRC,DT CPU,0.46246076998707386,-0.2136065907663913
乌鲁木齐市雷驰电子有限公司,0,circle,10.427029,2022,PRC,DT CPU,0.4260215618986821,-0.2880634407372365
南京新锐科技,0,circle,10.081116,2022,PRC,DT CPU,0.41769460384573176,-0.3520842099455767
南通安科电子科技有限公司,0,circle,10.086275,2022,PRC,DT CPU,0.4908303793167105,-0.38051527014090336
唐山云钦商贸有限公司,0,circle,13.818314,2022,PRC,DT CPU,0.5300045470052286,-0.34310579826260357
宁波华力云集信息科技有限公司,0,circle,10.027888,2022,PRC,DT CPU,0.5625288827448902,-0.285059096991403
成都蜀刀科技有限公司,0,circle,10.594793,2022,PRC,DT CPU,0.5002435705377685,-0.28588914906022633
成都鑫海众达科技有限公司,0,circle,12.42209,2022,PRC,DT CPU,0.5353348227916845,-0.18902119148398852
无锡宇鸿,0,circle,10.084711,2022,PRC,DT CPU,0.5833164765567527,-0.2302474744868487
无锡达智星智能科技有限公司,0,circle,10.118347,2022,PRC,DT CPU,0.48068391861556964,-0.13234081857315608
杭州恰自来电子商务有限公司,0,circle,11.400302,2022,PRC,DT CPU,0.5464439591973258,-0.09108438603821066
武汉炫烁科技有限公司,0,circle,13.068932,2022,PRC,DT CPU,0.596378815501435,-0.16611118008568238
江西源典科技有限公司,0,circle,10.819265,2022,PRC,DT CPU,0.48790710996946096,-0.051940923070141795
沈阳凯捷科技有限公司,0,circle,10.289467,2022,PRC,DT CPU,0.6022810580713751,-0.10660416563065961
深圳深达伟业科技有限公司,0,circle,10.598157,2022,PRC,DT CPU,0.5106595909169779,0.003950587563214146
福州中硕电子有限公司,0,circle,10.755458,2022,PRC,DT CPU,0.5918220391782922,-0.04252092658414914
苏州工业园区慧鱼科技有限公司,0,circle,10.118276,2022,PRC,DT CPU,0.5551283713492364,0.058267324729594894
苏州超集信息科技有限公司,0,circle,10.046729,2022,PRC,DT CPU,0.5765853399957704,0.008157655139022257
重庆典裕科技有限公司,0,circle,10.145301,2022,PRC,DT CPU,0.5178195345046763,0.09720590533994379
青岛嘉米尔森动漫传媒科技有限公司,0,circle,10.77628,2022,PRC,DT CPU,0.49445091363699784,0.05885638510147794
WORLD PEACE INDUSTRIAL CO LTD,0,star,20.470737,2022,PRC,DT CPU,0.07193184194203389,-0.22819710132634205
Centerm,0,circle,27.112846,2022,PRC,DT CPU,0.060472863739504876,0.08071165096162422
Cue,0,circle,10.814102,2022,PRC,DT CPU,-0.03726180106793763,0.04990983758339083
Cvte,0,circle,11.532285,2022,PRC,DT CPU,-0.08247157143367145,-0.05421448513935566
Cyxtech,0,circle,10.060339,2022,PRC,DT CPU,-0.11895256609718487,-0.16394185550006604
Decenta,0,circle,11.445815,2022,PRC,DT CPU,-0.20156557041258527,-0.2235410494158118
Ejeton,0,circle,18.316618,2022,PRC,DT CPU,-0.20354122167885697,-0.3301129513302943
Gifa,0,circle,11.617034,2022,PRC,DT CPU,-0.15599439015297814,-0.42536115836318916
Global Welltech,0,circle,11.8715315,2022,PRC,DT CPU,-0.08482029782610709,-0.49245511730227526
Huaray,0,circle,10.134184,2022,PRC,DT CPU,0.009247271845757068,-0.5377067184134506
Inovance,0,circle,13.869357,2022,PRC,DT CPU,0.10819030655612631,-0.5385704450561964
Jiangsu Odin,0,circle,14.597732,2022,PRC,DT CPU,0.020588813017208666,-0.41972084377772245
Jwipc,0,circle,10.739611,2022,PRC,DT CPU,0.16116002202303692,-0.3970977284071448
Jyence,0,circle,11.968046,2022,PRC,DT CPU,0.27636215607866976,-0.44885635598269175
Mindray,0,circle,10.367469,2022,PRC,DT CPU,0.2944355069264333,-0.3515466194590229
"Noon Technology Co., Ltd.",0,circle,11.773973,2022,PRC,DT CPU,0.1778303435130373,-0.09417455272962576
Pandeng,0,circle,10.165979,2022,PRC,DT CPU,0.2406419208691104,-0.25415720858384716
Shenzhen Asl Intelligent Systems Ltd,0,circle,10.652084,2022,PRC,DT CPU,-0.0876466237758478,-0.3184911949294795
Siasun,0,circle,19.621246,2022,PRC,DT CPU,0.04491126344605492,-0.04538830571389425
"Suzhou Cvte Electronic Technology Co., Ltd.",0,circle,17.522005,2022,PRC,DT CPU,0.1466004621837115,0.028903825289948313
"Techvision Intelligent Technology Co., Ltd.",0,circle,10.293825,2022,PRC,DT CPU,0.3865316026795807,-0.130601994510901
Wan You,0,circle,13.279883,2022,PRC,DT CPU,0.20119594494539697,-0.5156959789577299
深圳英众世纪智能科技有限公司,0,circle,12.527741,2022,PRC,DT CPU,0.35811735031624453,-0.059180152000035076
